"Year","Month","Shootings"
2004,"Apr",12
2004,"Aug",10
2004,"Dec",9
2004,"Feb",2
2004,"Jan",12
2004,"Jul",8
2004,"Jun",9
2004,"Mar",13
2004,"May",14
2004,"Nov",12
2004,"Oct",9
2004,"Sep",12
2005,"Apr",19
2005,"Aug",31
2005,"Dec",18
2005,"Feb",16
2005,"Jan",10
2005,"Jul",25
2005,"Jun",27
2005,"Mar",14
2005,"May",20
2005,"Nov",18
2005,"Oct",17
2005,"Sep",16
2006,"Apr",17
2006,"Aug",6
2006,"Dec",21
2006,"Feb",12
2006,"Jan",13
2006,"Jul",18
2006,"Jun",24
2006,"Mar",22
2006,"May",16
2006,"Nov",16
2006,"Oct",23
2006,"Sep",14
2007,"Apr",12
2007,"Aug",14
2007,"Dec",8
2007,"Feb",5
2007,"Jan",16
2007,"Jul",24
2007,"Jun",15
2007,"Mar",12
2007,"May",17
2007,"Nov",14
2007,"Oct",25
2007,"Sep",11
2008,"Apr",11
2008,"Aug",20
2008,"Dec",6
2008,"Feb",13
2008,"Jan",15
2008,"Jul",29
2008,"Jun",13
2008,"Mar",18
2008,"May",14
2008,"Nov",13
2008,"Oct",25
2008,"Sep",31
2009,"Apr",11
2009,"Aug",22
2009,"Dec",12
2009,"Feb",12
2009,"Jan",19
2009,"Jul",19
2009,"Jun",10
2009,"Mar",11
2009,"May",21
2009,"Nov",17
2009,"Oct",13
2009,"Sep",14
2010,"Apr",13
2010,"Aug",24
2010,"Dec",7
2010,"Feb",6
2010,"Jan",10
2010,"Jul",23
2010,"Jun",10
2010,"Mar",5
2010,"May",9
2010,"Nov",22
2010,"Oct",20
2010,"Sep",21
2011,"Apr",9
2011,"Aug",10
2011,"Dec",13
2011,"Feb",12
2011,"Jan",8
2011,"Jul",14
2011,"Jun",12
2011,"Mar",8
2011,"May",12
2011,"Nov",11
2011,"Oct",18
2011,"Sep",14
2012,"Apr",6
2012,"Aug",5
2012,"Dec",1
2012,"Feb",13
2012,"Jan",17
2012,"Jul",39
2012,"Jun",21
2012,"Mar",5
2012,"May",11
2012,"Nov",6
2012,"Oct",16
2012,"Sep",8
2013,"Apr",14
2013,"Aug",24
2013,"Dec",16
2013,"Feb",10
2013,"Jan",10
2013,"Jul",8
2013,"Jun",6
2013,"Mar",12
2013,"May",8
2013,"Nov",10
2013,"Oct",9
2013,"Sep",14
2014,"Apr",5
2014,"Aug",10
2014,"Dec",9
2014,"Feb",4
2014,"Jan",11
2014,"Jul",13
2014,"Jun",7
2014,"Mar",9
2014,"May",10
2014,"Nov",5
2014,"Oct",12
2014,"Sep",8
2015,"Apr",18
2015,"Aug",15
2015,"Dec",19
2015,"Feb",7
2015,"Jan",17
2015,"Jul",9
2015,"Jun",14
2015,"Mar",10
2015,"May",14
2015,"Nov",10
2015,"Oct",9
2015,"Sep",10
2016,"Apr",17
2016,"Aug",18
2016,"Dec",14
2016,"Feb",10
2016,"Jan",30
2016,"Jul",25
2016,"Jun",15
2016,"Mar",8
2016,"May",11
2016,"Nov",11
2016,"Oct",18
2016,"Sep",16
2017,"Apr",17
2017,"Aug",18
2017,"Dec",11
2017,"Feb",17
2017,"Jan",13
2017,"Jul",34
2017,"Jun",11
2017,"Mar",13
2017,"May",12
2017,"Nov",10
2017,"Oct",11
2017,"Sep",20
2018,"Apr",19
2018,"Aug",24
2018,"Dec",27
2018,"Feb",8
2018,"Jan",21
2018,"Jul",32
2018,"Jun",21
2018,"Mar",10
2018,"May",21
2018,"Nov",14
2018,"Oct",10
2018,"Sep",22
2019,"Apr",18
2019,"Aug",44
2019,"Dec",24
2019,"Feb",15
2019,"Jan",15
2019,"Jul",19
2019,"Jun",21
2019,"Mar",15
2019,"May",19
2019,"Nov",23
2019,"Oct",44
2019,"Sep",27
2020,"Apr",11
2020,"Aug",33
2020,"Dec",11
2020,"Feb",9
2020,"Jan",17
2020,"Jul",30
2020,"Jun",11
2020,"Mar",24
2020,"May",21
2020,"Nov",12
2020,"Oct",9
2020,"Sep",29
2021,"Apr",14
2021,"Aug",26
2021,"Dec",13
2021,"Feb",14
2021,"Jan",12
2021,"Jul",30
2021,"Jun",19
2021,"Mar",9
2021,"May",17
2021,"Nov",14
2021,"Oct",24
2021,"Sep",17
2022,"Apr",16
2022,"Aug",13
2022,"Dec",8
2022,"Feb",20
2022,"Jan",22
2022,"Jul",14
2022,"Jun",28
2022,"Mar",4
2022,"May",13
2022,"Nov",13
2022,"Oct",19
2022,"Sep",24
2023,"Apr",8
2023,"Aug",24
2023,"Dec",19
2023,"Feb",8
2023,"Jan",11
2023,"Jul",20
2023,"Jun",17
2023,"Mar",12
2023,"May",11
2023,"Nov",13
2023,"Oct",7
2023,"Sep",18
